# ZZ,NN,Existence
29,72,unbound
29,73,unbound
29,74,unbound
29,75,unbound
29,76,unbound
29,77,unbound
29,78,unbound
29,79,unbound
29,80,unbound
29,81,unbound
30,22,unbound
30,23,bound
30,24,bound
30,25,bound
30,26,bound
30,27,bound
30,28,bound
30,29,bound
30,30,bound
30,31,bound
30,32,bound
30,33,bound
30,34,bound
30,35,bound
30,36,bound
30,37,bound
30,38,bound
30,39,bound
30,40,bound
30,41,bound
30,42,bound
30,43,bound
30,44,bound
30,45,bound
30,46,bound
30,47,bound
30,48,bound
30,49,bound
30,50,bound
30,51,bound
30,52,bound
30,53,bound
30,54,bound
30,55,bound
30,56,bound
30,57,bound
30,58,bound
30,59,bound
30,60,bound
30,61,bound
30,62,bound
30,63,unbound
30,64,bound
30,65,unbound
30,66,bound
30,67,unbound
30,68,bound
30,69,unbound
30,70,bound
30,71,unbound
30,72,unbound
30,73,unbound
30,74,unbound
30,75,unbound
30,76,unbound
30,77,unbound
30,78,unbound
30,79,unbound
30,80,unbound
30,81,unbound
30,82,unbound
30,83,unbound
31,22,unbound
31,23,bound
31,24,bound
31,25,bound
31,26,bound
31,27,bound
31,28,bound
31,29,bound
31,30,bound
31,31,bound
31,32,bound
31,33,bound
31,34,bound
31,35,bound
31,36,bound
31,37,bound
31,38,bound
31,39,bound
31,40,bound
31,41,bound
31,42,bound
31,43,bound
31,44,bound
31,45,bound
31,46,bound
31,47,bound
31,48,bound
31,49,bound
31,50,bound
31,51,bound
31,52,bound
31,53,bound
31,54,bound
31,55,bound
31,56,bound
31,57,bound
31,58,bound
31,59,bound
31,60,bound
31,61,bound
31,62,bound
31,63,bound
31,64,bound
31,65,bound
31,66,bound
31,67,bound
31,68,bound
31,69,unbound
31,70,bound
31,71,unbound
31,72,bound
31,73,unbound
31,74,bound
31,75,unbound
31,76,unbound
31,77,unbound
31,78,unbound
31,79,unbound
31,80,unbound
31,81,unbound
31,82,unbound
31,83,unbound
32,24,unbound
32,25,bound
32,26,bound
32,27,bound
32,28,bound
32,29,bound
32,30,bound
32,31,bound
32,32,bound
32,33,bound
32,34,bound
32,35,bound
32,36,bound
32,37,bound
32,38,bound
32,39,bound
32,40,bound
32,41,bound
32,42,bound
32,43,bound
32,44,bound
32,45,bound
32,46,bound
32,47,bound
32,48,bound
32,49,bound
32,50,bound
32,51,bound
32,52,bound
32,53,bound
32,54,bound
32,55,bound
32,56,bound
32,57,bound
32,58,bound
32,59,bound
32,60,bound
32,61,bound
32,62,bound
32,63,bound
32,64,bound
32,65,bound
32,66,bound
32,67,bound
32,68,bound
32,69,unbound
32,70,bound
32,71,unbound
32,72,bound
32,73,unbound
32,74,bound
32,75,unbound
32,76,bound
32,77,unbound
32,78,bound
32,79,unbound
32,80,unbound
32,81,unbound
32,82,unbound
32,83,unbound
32,84,unbound
32,85,unbound
33,24,unbound
33,25,bound
33,26,bound
33,27,bound
33,28,bound
33,29,bound
33,30,bound
33,31,bound
33,32,bound
33,33,bound
33,34,bound
33,35,bound
33,36,bound
33,37,bound
33,38,bound
33,39,bound
33,40,bound
33,41,bound
33,42,bound
33,43,bound
33,44,bound
33,45,bound
33,46,bound
33,47,bound
33,48,bound
33,49,bound
33,50,bound
33,51,bound
33,52,bound
33,53,bound
33,54,bound
33,55,bound
33,56,bound
33,57,bound
33,58,bound
33,59,bound
33,60,bound
33,61,bound
33,62,bound
33,63,bound
33,64,bound
33,65,bound
33,66,bound
33,67,bound
33,68,bound
33,69,bound
33,70,bound
33,71,bound
33,72,bound
33,73,bound
33,74,bound
33,75,unbound
33,76,bound
33,77,unbound
33,78,bound
33,79,unbound
33,80,bound
33,81,unbound
33,82,bound
33,83,unbound
33,84,unbound
33,85,unbound
34,26,unbound
34,27,bound
34,28,bound
